Microbacterium	cellulose	2
Xanthomonas campestris	N-acetylglucosamine	2
Staphylococcus aureus	peroxidase	2
[Pseudomonas] pictorum	agar	2
Peptoclostridium difficile	hydrogen	2
Candidatus Blochmannia	nitrogen	2
Streptomyces aureus	nisin	2
Brachyspira	agar	2
Leuconostoc mesenteroides	dextran	2
Actinobacteria	pectin	2
Clostridium perfringens	hydrogen	2
Succinivibrio	acetic	2
Lactobacillus fermentum	mannitol	2
Curtobacterium citreum	peroxidase	2
Rhodococcus jostii RHA1	peroxidase	2
Lactobacillus	carbon dioxide	2
Rhodovulum	nitrogen	2
Clostridium	Agar	2
Mobiluncus	hydrogen	2
Lactobacillus rhamnosus	cellulose	2
Sphingomonas	cellulose	2
Lactococcus lactis	glycine	2
Haemophilus	agar	2
Bacteroidaceae	agar	2
Bacillus subtilis	riboflavin	2
Bacillus thuringiensis	nitrogen	2
Methanosarcinales	hydrogen	2
Methanothermobacter thermautotrophicus	hydrogen	2
Spiroplasma apis	gold	2
Enterobacteriaceae	cellulose	2
Aliivibrio fischeri	arabinose	2
Lactobacillus acidophilus	glycine	2
Ruminiclostridium thermocellum	cellulase	2
Lactobacillus crispatus	dextran	2
Prevotella	carboxymethylcellulose	2
